# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.67679775	0.6591299	0.3278607	-0.24383564	-0.2374703	-0.11812113
2.047e-12	0.68668216	0.6515659	0.32238102	-0.24739677	-0.23474514	-0.11614692
4.095e-12	0.7056895	0.63641256	0.3114184	-0.2542447	-0.22928572	-0.11219734
8.191e-12	0.7407257	0.6062327	0.28949505	-0.2668675	-0.21841256	-0.10429883
1.6383e-11	0.79953676	0.5480318	0.24576858	-0.28805584	-0.19744405	-0.08854512
3.2767e-11	0.87828887	0.45069683	0.15962775	-0.31642854	-0.16237634	-0.057510428
5.922163658856773e-11	0.9256614	0.37734458	0.027605912	-0.3334958	-0.1359491	-0.0099458145
8.685195858803839e-11	0.900394	0.42412522	-0.096997775	-0.3243925	-0.15280317	0.034946203
1.1736382953824932e-10	0.7770306	0.59101385	-0.21662451	-0.27994734	-0.21292955	0.078045145
1.1736382953824932e-10	0.7770306	0.59101385	-0.21662451	-0.27994734	-0.21292955	0.078045145
1.4223676653222212e-10	0.575256	0.7607894	-0.3004663	-0.20725234	-0.274096	0.10825151
1.681468545630812e-10	0.2554608	0.8907282	-0.3759563	-0.09203701	-0.32091016	0.13544895
1.8915296760262677e-10	-0.06643059	0.9007082	-0.42931557	0.023933508	-0.32450575	0.15467313
2.0794866018304666e-10	-0.36417228	0.8029627	-0.47183627	0.13120341	-0.28929016	0.16999243
2.2567732887337356e-10	-0.6095507	0.6086387	-0.50794375	0.21960798	-0.21927938	0.18300118
2.428391948712682e-10	-0.7713673	0.33736014	-0.5396115	0.277907	-0.121543586	0.19441038
2.5975771571658827e-10	-0.8227696	0.02027856	-0.5680133	0.29642612	-0.0073059266	0.20464295
2.766474576987684e-10	-0.7468939	-0.2990938	-0.59387916	0.26908976	0.10775705	0.21396184
2.937089231243362e-10	-0.5434898	-0.56832683	-0.6177569	0.19580767	0.20475587	0.22256449
3.1111551918687133e-10	-0.23535752	-0.7314086	-0.64003783	0.084794246	0.26351073	0.2305918
3.2905997772751076e-10	0.12702298	-0.7395141	-0.6610478	-0.04576364	0.26643097	0.23816127
3.477884708090485e-10	0.46502107	-0.565574	-0.68108845	-0.16753706	0.20376411	0.24538147
3.6741389009264323e-10	0.6766964	-0.2274343	-0.70025396	-0.24379912	0.08193968	0.2522864
3.874621618224472e-10	0.67230976	0.17974833	-0.7181157	-0.2422187	-0.06475945	0.2587216
4.069382768736408e-10	0.45163107	0.5072289	-0.73399466	-0.16271293	-0.18274361	0.26444244
4.255467504905197e-10	0.105818376	0.6552562	-0.7479585	-0.038124077	-0.23607467	0.2694733
4.433648764892407e-10	-0.24854079	0.6000969	-0.76033634	0.08954388	-0.21620196	0.27393275
4.605916751152439e-10	-0.5120458	0.37768307	-0.7714691	0.18447904	-0.13607107	0.27794367
4.77326963323421e-10	-0.62062603	0.06301224	-0.78157073	0.22359817	-0.022701953	0.28158307
4.936574765807485e-10	-0.5572041	-0.2532682	-0.790809	0.20074862	0.091247074	0.2849114
5.096607357290025e-10	-0.34973726	-0.48864552	-0.79931813	0.12600279	0.17604844	0.28797707
5.254033810475723e-10	-0.059821304	-0.58723164	-0.8072054	0.021552326	0.21156687	0.2908187
