# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.6761161	0.6577326	0.3320465	-0.24359006	-0.23696685	-0.1196292
2.047e-12	0.6854181	0.6486899	0.33076188	-0.24694136	-0.23370898	-0.119166374
4.095e-12	0.70354986	0.6303176	0.32820317	-0.25347385	-0.22708982	-0.11824453
8.191e-12	0.73791623	0.59250987	0.3231281	-0.26585528	-0.21346852	-0.11641609
1.6383e-11	0.7990379	0.5133001	0.31314805	-0.28787607	-0.18493097	-0.11282049
3.2767e-11	0.8912603	0.34539035	0.29387155	-0.32110187	-0.12443668	-0.10587558
5.6164098793122204e-11	0.95825917	0.09977757	0.2679253	-0.34524012	-0.035947707	-0.09652771
8.113859492430389e-11	0.9587287	-0.14883341	0.24225642	-0.3454092	0.053621467	-0.08727977
1.0798966966797802e-10	0.8978399	-0.38318124	0.21692339	-0.32347238	0.13805194	-0.07815282
1.37101923872685e-10	0.7847813	-0.5892883	0.19198348	-0.28273976	0.21230786	-0.069167495
1.6891714169364858e-10	0.631739	-0.7568595	0.16754036	-0.22760195	0.27268016	-0.060361177
2.0396301191746743e-10	0.45272928	-0.8799867	0.14373523	-0.1631086	0.3170402	-0.051784698
2.4291350908841177e-10	0.2621054	-0.9574579	0.12072781	-0.09443092	0.3449514	-0.043495625
2.866299127728528e-10	0.07330289	-0.99241316	0.09870604	-0.02640945	0.35754508	-0.03556165
3.360715691424639e-10	-0.10170187	-0.9917564	0.077949084	0.03664099	0.35730842	-0.028083373
3.924462801141595e-10	-0.25384015	-0.96546024	0.05875275	0.091453135	0.3478345	-0.02116735
4.5694150828802516e-10	-0.37678427	-0.92537117	0.04149699	0.13574722	0.33339125	-0.01495047
5.306180558663469e-10	-0.46749786	-0.8835952	0.026556324	0.16842939	0.3183403	-0.0095676705
6.1389684939021e-10	-0.52582985	-0.85047054	0.014243667	0.18944515	0.3064062	-0.0051316856
7.063090559546892e-10	-0.5541946	-0.83237416	0.0046572383	0.19966435	0.29988647	-0.0016779024
8.066877305874617e-10	-0.55665725	-0.8307389	-0.0023972564	0.2005516	0.29929727	0.0008636798
9.150723870504907e-10	-0.5373753	-0.84331083	-0.007393473	0.19360472	0.3038267	0.0026637088
1.0314163479051488e-09	-0.4995038	-0.8662445	-0.010798896	0.17996044	0.3120892	0.0038906091
1.1581312840952336e-09	-0.44431457	-0.8957756	-0.013069647	0.16007695	0.32272863	0.004708712
1.2963505082271036e-09	-0.37264594	-0.92786	-0.014521208	0.13425629	0.33428794	0.005231678
1.4486342868822445e-09	-0.28426066	-0.95862323	-0.015411391	0.10241299	0.34537125	0.005552392
1.6248925344407428e-09	-0.1740059	-0.98461556	-0.015943883	0.06269057	0.35473573	0.0057442365
1.8274225105319111e-09	-0.041395105	-0.99901104	-0.016230099	0.014913762	0.3599221	0.005847355
