# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.67612815	0.65775687	0.3319738	-0.2435944	-0.23697561	-0.119603
2.047e-12	0.68544066	0.64874023	0.33061653	-0.2469495	-0.2337271	-0.119114004
4.095e-12	0.70358914	0.6304248	0.327913	-0.253488	-0.22712845	-0.11813998
8.191e-12	0.7379742	0.59275264	0.32254976	-0.2658762	-0.21355599	-0.11620772
1.6383e-11	0.79909164	0.513915	0.31200004	-0.28789547	-0.1851525	-0.11240689
3.2767e-11	0.8912891	0.3472251	0.29161346	-0.32111225	-0.1250977	-0.105062045
5.621023001057162e-11	0.95886564	0.104044795	0.2641049	-0.34545857	-0.037485097	-0.095151305
8.133943980560886e-11	0.9611827	-0.14165623	0.23677316	-0.3462934	0.051035687	-0.08530426
1.0853296738132262e-10	0.90375835	-0.37319055	0.20964174	-0.32560462	0.13445252	-0.0755294
1.3820888352524016e-10	0.7962608	-0.5766731	0.1828031	-0.28687555	0.20776287	-0.06586
1.7089060114247477e-10	0.65147984	-0.74237525	0.15637468	-0.23471412	0.26746178	-0.056338422
2.0726040799961654e-10	0.483917	-0.86532974	0.1304946	-0.17434487	0.31175965	-0.047014385
2.4821021497109535e-10	0.30849466	-0.94537574	0.105337225	-0.11114397	0.34059846	-0.037950724
2.948420341110243e-10	0.13970841	-0.9868607	0.08116382	-0.05033393	0.35554463	-0.029241577
3.4854096973275655e-10	-0.009401213	-0.99825394	0.058316883	0.0033870544	0.35964936	-0.021010315
4.1077445479002973e-10	-0.12749867	-0.9911374	0.0372952	0.04593502	0.3570854	-0.013436655
4.829008229224436e-10	-0.20583175	-0.97840905	0.018684775	0.07415674	0.35249966	-0.0067317206
5.648355553295552e-10	-0.23869452	-0.97108954	0.0031825053	0.08599649	0.3498626	-0.001146588
6.544781548872155e-10	-0.22618762	-0.97404397	-0.008810923	0.08149052	0.350927	0.0031743858
7.496317758571815e-10	-0.17392366	-0.9846024	-0.017571637	0.06266093	0.35473096	0.006330682
8.499032954420068e-10	-0.08836491	-0.99580413	-0.02378889	0.03183597	0.35876673	0.008570624
9.56475478138627e-10	0.025820402	-0.9992705	-0.02813887	-0.009302534	0.36001563	0.010137828
1.0717028724556183e-09	0.16559426	-0.9857021	-0.031144246	-0.05966004	0.35512716	0.0112206
1.1999157565926566e-09	0.329411	-0.94360316	-0.03319152	-0.11867968	0.33995986	0.011958189
1.3525246169376292e-09	0.52071273	-0.85303134	-0.034578614	-0.18760157	0.3073288	0.01245793
1.3525246169376292e-09	0.52071273	-0.85303134	-0.034578614	-0.18760157	0.3073288	0.01245793
1.5121356519692819e-09	0.70052934	-0.7127476	-0.035351206	-0.25238562	0.25678754	0.012736276
1.668887142136747e-09	0.8435962	-0.5357866	-0.035751015	-0.3039295	0.19303235	0.01288032
1.8122760315850968e-09	0.9368919	-0.34776622	-0.03594933	-0.33754194	0.12529266	0.012951767
1.95292273852124e-09	0.98839813	-0.14754365	-0.036058847	-0.35609853	0.053156793	0.012991224
2.0915353025746838e-09	0.9977509	0.05646661	-0.03612019	-0.3594681	-0.0203437	0.013013326
2.2290727134278368e-09	0.9657783	0.2568371	-0.03615497	-0.34794903	-0.09253287	0.013025856
2.366328095416343e-09	0.89411265	0.4463788	-0.03617506	-0.3221295	-0.16082063	0.013033094
2.5029270180622923e-09	0.7862321	0.6168709	-0.036186554	-0.2832625	-0.22224526	0.013037235
2.6404822217739847e-09	0.6451879	0.7631663	-0.03619327	-0.23244727	-0.27495235	0.013039654
2.7774309959614572e-09	0.47822952	0.87748873	-0.036196638	-0.1722958	-0.31614023	0.013040867
2.9142653808956552e-09	0.29181176	0.9557906	-0.036199007	-0.10513349	-0.34435076	0.013041722
3.0509199266300694e-09	0.09370376	0.99494183	-0.036200244	-0.033759445	-0.35845608	0.013042167
3.187476539237048e-09	-0.108091414	0.9934817	-0.036200915	0.038943004	-0.35793	0.013042409
3.3240364025740927e-09	-0.3054865	0.9515081	-0.036201466	0.11006019	-0.34280783	0.013042606
3.4603672283329457e-09	-0.49013132	0.87089646	-0.036202114	0.17658374	-0.31376517	0.013042841
3.5975310547466597e-09	-0.6557868	0.7540777	-0.03620212	0.23626585	-0.2716779	0.013042844
3.733348181463788e-09	-0.7932508	0.607818	-0.036201958	0.28579116	-0.21898371	0.013042783
3.869343490121191e-09	-0.89882886	0.43680212	-0.036201835	0.32382864	-0.15737036	0.0130427405
4.005688337440511e-09	-0.96818113	0.24761832	-0.036201697	0.3488148	-0.08921154	0.01304269
4.141893417191299e-09	-0.99816334	0.048574988	-0.036201775	0.35961673	-0.017500523	0.013042718
4.278451511714393e-09	-0.9875697	-0.15295589	-0.036201846	0.35580003	0.055106707	0.013042744
4.41499480653989e-09	-0.93671024	-0.348229	-0.03620192	0.3374765	0.1254594	0.013042771
4.551434374319606e-09	-0.84774065	-0.5291741	-0.036201857	0.30542266	0.19064999	0.013042748
4.6874665549375245e-09	-0.7246754	-0.6881387	-0.036201887	0.2610849	0.24792153	0.013042759
4.824229783882197e-09	-0.5713964	-0.8198753	-0.03620176	0.2058618	0.29538336	0.013042713
4.960890556839332e-09	-0.39488563	-0.9180168	-0.036201913	0.14226878	0.33074164	0.013042768
5.097758298532555e-09	-0.20194653	-0.9787273	-0.036201753	0.072756976	0.3526143	0.013042711
5.234028782933272e-09	-0.0016192707	-0.9993432	-0.03620177	0.0005833883	0.3600418	0.013042716
5.370542374794605e-09	0.19912665	-0.97930485	-0.036201812	-0.07174104	0.35282242	0.013042731
5.507132292226838e-09	0.39186114	-0.9193119	-0.036201816	-0.14117911	0.33120823	0.013042733
5.643714170704796e-09	0.5685986	-0.82181823	-0.036201898	-0.2048538	0.2960834	0.013042763
5.781289290772493e-09	0.723156	-0.6897354	-0.036201686	-0.2605375	0.24849679	0.0130426865
5.917777201718184e-09	0.8469294	-0.53047156	-0.036201656	-0.30513036	0.19111747	0.013042675
6.055050687711006e-09	0.9366065	-0.34850776	-0.036201406	-0.33743912	0.12555984	0.013042586
6.190393063910023e-09	0.9872497	-0.15500873	-0.036201414	-0.35568476	0.055846304	0.013042589
6.327091284160139e-09	0.9982526	0.04670527	-0.036201578	-0.35964882	-0.016826898	0.013042646
6.4636069547638775e-09	0.96853006	0.24624978	-0.036201775	-0.3489405	-0.088718474	0.013042718
6.600195815256685e-09	0.8992877	0.43585685	-0.036201898	-0.32399392	-0.15702982	0.013042763
6.737006421235009e-09	0.79315585	0.6079419	-0.036201764	-0.28575695	-0.21902835	0.013042714
6.8732466264029796e-09	0.6551973	0.75459003	-0.036201715	-0.23605347	-0.2718625	0.013042697
7.010338301700035e-09	0.48954475	0.8712263	-0.036201995	-0.17637241	-0.31388402	0.013042796
7.146429120360553e-09	0.3051829	0.9516055	-0.03620199	-0.10995082	-0.34284294	0.013042796
7.2838752144899345e-09	0.10646569	0.9936572	-0.036201928	-0.038357288	-0.35799325	0.013042774
7.42020024139396e-09	-0.09499746	0.99481905	-0.03620191	0.03422553	-0.35841182	0.013042766
7.556660365479209e-09	-0.2927908	0.95549107	-0.03620177	0.10548621	-0.3442428	0.013042716
7.693106055959765e-09	-0.47864163	0.8772637	-0.036201753	0.17244425	-0.31605917	0.013042711
7.83015283928148e-09	-0.6456842	0.762746	-0.036201634	0.23262608	-0.27480093	0.013042667
7.966079923505967e-09	-0.7851838	0.6182038	-0.03620134	0.28288478	-0.22272548	0.013042562
8.10388735941814e-09	-0.8942028	0.4461958	-0.036201324	0.32216197	-0.16075471	0.013042556
8.24000636486369e-09	-0.9654468	0.25807348	-0.036201574	0.3478297	-0.0929783	0.0130426455
8.376733948337435e-09	-0.9976253	0.058594555	-0.03620164	0.3594229	-0.021110356	0.01304267
8.512888574331478e-09	-0.9891411	-0.14244075	-0.036201674	0.3563662	0.051318333	0.013042682
8.64945368804565e-09	-0.940351	-0.3382742	-0.036202133	0.33878815	0.1218729	0.013042849
8.786306881243126e-09	-0.8529859	-0.52067703	-0.036202136	0.30731243	0.18758869	0.013042849
8.923415027213264e-09	-0.7304277	-0.6820299	-0.036202256	0.26315734	0.24572065	0.013042892
9.060004232315248e-09	-0.5784687	-0.814901	-0.036201954	0.20840979	0.29359126	0.013042782
9.19642610235691e-09	-0.40313578	-0.9144239	-0.036202066	0.14524113	0.32944718	0.0130428225
9.333435338581477e-09	-0.21054524	-0.9769137	-0.03620188	0.07585491	0.3519609	0.013042756
9.469690303979447e-09	-0.010429298	-0.9992901	-0.03620183	0.0037574507	0.36002266	0.013042739
9.606465860839987e-09	0.19086638	-0.98094827	-0.036201783	-0.068765044	0.35341448	0.013042722
9.742926644686675e-09	0.3839228	-0.9226553	-0.036201637	-0.13831909	0.3324128	0.01304267
9.879149399072972e-09	0.561053	-0.82698804	-0.03620157	-0.20213526	0.29794592	0.013042645
1.0015614907431321e-08	0.71566665	-0.69750327	-0.036201455	-0.25783926	0.2512954	0.013042604
1.0152435122895231e-08	0.84141773	-0.5391713	-0.036201477	-0.30314466	0.19425178	0.01304261
1.028894953048526e-08	0.932562	-0.3591903	-0.03620188	-0.335982	0.12940851	0.013042756
1.0425421608185448e-08	0.98569065	-0.16463126	-0.036201745	-0.3551231	0.05931309	0.013042708
1.0562047233005118e-08	0.9986645	0.03685976	-0.036201764	-0.35979727	-0.013279775	0.013042714
1.0698483771391786e-08	0.9709388	0.2365742	-0.03620159	-0.3498083	-0.08523258	0.013042651
1.0835015421394736e-08	0.90362823	0.4267852	-0.036201883	-0.3255577	-0.1537615	0.013042757
1.0971690942086021e-08	0.7993539	0.5997691	-0.036201622	-0.28798997	-0.21608388	0.013042662
1.110757001056368e-08	0.6633084	0.7474701	-0.036201853	-0.23897569	-0.26929736	0.013042746
1.1243969262855623e-08	0.49981308	0.86537635	-0.03620174	-0.18007186	-0.3117764	0.013042705
1.1380926117654995e-08	0.3152	0.94833463	-0.03620166	-0.11355977	-0.34166452	0.013042675
1.1518207940182346e-08	0.11718029	0.9924506	-0.036201663	-0.04221753	-0.35755855	0.013042678
1.165467222910605e-08	-0.08446301	0.99576885	-0.03620181	0.0304302	-0.35875404	0.01304273
1.179119349296973e-08	-0.2827479	0.95851094	-0.036201775	0.10186796	-0.34533077	0.013042718
1.1927716556201053e-08	-0.4695108	0.8821843	-0.036201864	0.16915461	-0.317832	0.01304275
1.2064023944110203e-08	-0.63689065	0.7701038	-0.036201756	0.22945796	-0.27745178	0.013042711
1.220071292068603e-08	-0.77874666	0.6262933	-0.036201686	0.28056562	-0.22563997	0.0130426865
1.2336331371984478e-08	-0.888059	0.458302	-0.036202017	0.31994855	-0.16511633	0.013042806
1.2473241279813815e-08	-0.96216977	0.27003494	-0.03620208	0.34664902	-0.09728776	0.013042829
1.2609841173026615e-08	-0.996808	0.07115742	-0.036201824	0.35912842	-0.025636483	0.013042736
1.2746037378164638e-08	-0.9908489	-0.13003065	-0.036201738	0.35698146	0.046847235	0.013042705
1.2882585113918408e-08	-0.944526	-0.32643542	-0.036201824	0.34029233	0.11760764	0.013042736
1.3019195494443141e-08	-0.85964304	-0.5096109	-0.036202233	0.30971083	0.18360181	0.013042883
1.3155795062757197e-08	-0.73968613	-0.6719775	-0.036202077	0.26649296	0.24209899	0.013042826
1.3292756307820561e-08	-0.58911365	-0.8072389	-0.03620167	0.21224493	0.29083073	0.013042681
1.3430121277037821e-08	-0.41383377	-0.9096323	-0.036201634	0.14909539	0.32772088	0.013042667
1.3565839086035604e-08	-0.22385493	-0.97394997	-0.036201738	0.080650106	0.35089317	0.013042705
1.3703395715319252e-08	-0.022136897	-0.99909925	-0.03620182	0.007975447	0.35995388	0.013042735
