# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.6761362	0.65777314	0.33192536	-0.24359728	-0.23698147	-0.119585544
2.047e-12	0.6854556	0.6487737	0.33051968	-0.24695487	-0.23373918	-0.1190791
4.095e-12	0.7036153	0.6304962	0.3277195	-0.25349742	-0.22715418	-0.118070275
8.191e-12	0.73801285	0.5929144	0.32216406	-0.2658901	-0.21361427	-0.11606875
1.6383e-11	0.7991267	0.5143247	0.3112342	-0.28790808	-0.1853001	-0.11213097
3.2767e-11	0.89130354	0.34844863	0.29010642	-0.32111743	-0.12553853	-0.104519084
5.627004502966722e-11	0.9592932	0.10661023	0.2615166	-0.34561265	-0.038409367	-0.09421879
8.152738804174449e-11	0.9627277	-0.13728835	0.23303942	-0.34685004	0.049462028	-0.083959065
1.0896476567338986e-10	0.907495	-0.36682403	0.20467795	-0.32695088	0.13215879	-0.07374105
1.3903614692442312e-10	0.80369204	-0.56825554	0.17653592	-0.28955287	0.20473023	-0.06360208
1.7233533428005544e-10	0.66459036	-0.73225594	0.14873162	-0.23943755	0.26381606	-0.05358479
2.096929804530607e-10	0.50506693	-0.8545026	0.121378735	-0.18196473	0.30785885	-0.043730132
2.521089302678642e-10	0.34101483	-0.9352749	0.094708644	-0.12286028	0.33695936	-0.034121484
3.0094153064512456e-10	0.18790235	-0.9797608	0.069004245	-0.06769717	0.3529867	-0.02486074
3.5775876361471623e-10	0.060669124	-0.997155	0.04473572	-0.021857776	0.3592534	-0.016117312
4.243583263352403e-10	-0.027264886	-0.99937487	0.02250458	0.00982295	0.3600532	-0.008107915
5.011629146747214e-10	-0.064278744	-0.99792665	0.0032891426	0.023158245	0.35953146	-0.0011850072
5.860065553279433e-10	-0.046084028	-0.99886525	-0.012026608	0.01660308	0.3598696	0.004332927
6.752775086598917e-10	0.02089077	-0.9995089	-0.023355389	-0.0075264936	0.36010146	0.008414443
