# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.67612433	0.65774864	0.33199802	-0.24359304	-0.23697264	-0.11961172
2.047e-12	0.68543327	0.6487233	0.33066496	-0.24694681	-0.233721	-0.119131446
4.095e-12	0.7035762	0.6303889	0.32800967	-0.25348333	-0.22711554	-0.11817481
8.191e-12	0.7379551	0.5926715	0.32274252	-0.26586926	-0.21352676	-0.11627717
1.6383e-11	0.79907405	0.5137099	0.31238276	-0.28788912	-0.18507859	-0.11254476
3.2767e-11	0.8912806	0.34661326	0.29236653	-0.32110918	-0.124877274	-0.10533335
5.621503996682173e-11	0.95869565	0.10241203	0.26535746	-0.34539735	-0.03689684	-0.09560257
8.129940370244413e-11	0.9603407	-0.14431448	0.23857734	-0.34599	0.051993392	-0.085954264
1.0836477654266956e-10	0.9017479	-0.37666848	0.21206522	-0.3248803	0.13570553	-0.07640252
1.378421737723473e-10	0.79239726	-0.5809967	0.18587507	-0.28548366	0.20932057	-0.06696678
1.702306398602985e-10	0.6448044	-0.74738854	0.160118	-0.2323091	0.26926792	-0.05768706
2.061486945199527e-10	0.47330683	-0.8705005	0.13494267	-0.17052224	0.31362256	-0.04861693
2.4640340021096853e-10	0.29261225	-0.94982266	0.110522315	-0.105421886	0.34220064	-0.03981881
2.9201290692659487e-10	0.11674731	-0.989336	0.08708853	-0.042061538	0.35643643	-0.031376123
3.442003875685155e-10	-0.041744683	-0.9970143	0.06496229	0.015039709	0.35920274	-0.023404513
4.044043015355203e-10	-0.17262834	-0.98397934	0.044545162	0.062194265	0.35450655	-0.01604866
4.739995484398795e-10	-0.26815644	-0.9630152	0.026343422	0.09661099	0.3469536	-0.009490967
5.535442478037201e-10	-0.32341054	-0.9461956	0.010930727	0.11651784	0.34089386	-0.0039381054
6.420879328795801e-10	-0.33750907	-0.94132143	-0.0012920431	0.12159723	0.3391378	0.00046549528
7.374901575203e-10	-0.314031	-0.94935614	-0.0103728715	0.1131386	0.3420325	0.0037371214
8.387509366987634e-10	-0.2584887	-0.9658674	-0.016848449	0.09312791	0.34798118	0.006070133
9.463944140739508e-10	-0.17522436	-0.98429686	-0.021361094	0.06312956	0.35462093	0.0076959413
1.0624002053751251e-09	-0.06647847	-0.99748814	-0.02445654	0.023950756	0.3593734	0.008811164
1.1892834596484031e-09	0.066407	-0.99743986	-0.026530659	-0.02392501	0.35935608	0.009558424
1.331813290118726e-09	0.22367433	-0.9742651	-0.027884943	-0.08058503	0.35100675	0.010046342
1.5028542269198555e-09	0.4115107	-0.9109513	-0.028751172	-0.14825842	0.3281961	0.010358427
1.5028542269198555e-09	0.4115107	-0.9109513	-0.028751172	-0.14825842	0.3281961	0.010358427
1.6792424048488883e-09	0.591831	-0.80553323	-0.029194444	-0.21322393	0.2902162	0.010518128
1.8564800191967878e-09	0.7484905	-0.662493	-0.029412199	-0.269665	0.23868193	0.010596581
2.0212441361261678e-09	0.86452466	-0.50172305	-0.029513571	-0.31146955	0.18076	0.010633104
2.1816568938837483e-09	0.94500184	-0.32572624	-0.029564606	-0.34046382	0.11735214	0.010651491
2.3398479316140776e-09	0.98971754	-0.13994202	-0.029590769	-0.35657388	0.05041809	0.010660915
2.4971910755439813e-09	0.9983077	0.050054297	-0.029604437	-0.35966873	-0.018033484	0.01066584
2.653875986851882e-09	0.9709296	0.23752645	-0.029611511	-0.349805	-0.085575655	0.010668388
2.809930031193368e-09	0.9089734	0.4158008	-0.029615544	-0.3274835	-0.14980406	0.010669842
2.966628550028473e-09	0.81414783	0.57990193	-0.029617343	-0.29331988	-0.20892617	0.010670491
3.122761500778764e-09	0.6905399	0.72268766	-0.029618787	-0.24878663	-0.26036876	0.010671009
3.279260011448677e-09	0.54190284	0.8399191	-0.029619824	-0.19523591	-0.30260473	0.010671383
3.435883435636071e-09	0.37368602	0.9270823	-0.029619886	-0.13463101	-0.33400777	0.010671405
3.590364229196501e-09	0.19458982	0.9804374	-0.029619928	-0.07010652	-0.35323048	0.010671422
3.7466766552358844e-09	0.006473373	0.99954027	-0.029619817	-0.0023322166	-0.36011276	0.010671381
3.902837145823749e-09	-0.18169318	0.98290914	-0.029619744	0.06546013	-0.35412097	0.010671354
4.0588730434187064e-09	-0.3632297	0.9312288	-0.029619727	0.13086382	-0.33550167	0.010671348
4.215030712068451e-09	-0.5319394	0.84626424	-0.029619776	0.1916463	-0.30489075	0.010671366
