# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.6761103	0.65772027	0.33208284	-0.24358797	-0.23696242	-0.11964228
2.047e-12	0.68540704	0.6486646	0.33083448	-0.24693736	-0.23369984	-0.11919252
4.095e-12	0.7035304	0.6302638	0.32834822	-0.2534668	-0.22707045	-0.11829677
8.191e-12	0.73788726	0.59238815	0.32341716	-0.26584485	-0.21342468	-0.116520226
1.6383e-11	0.7990105	0.5129923	0.3137217	-0.28786623	-0.18482006	-0.113027155
3.2767e-11	0.8912428	0.34447294	0.29499948	-0.32109556	-0.12410617	-0.10628194
5.6161317248386176e-11	0.9579708	0.09744173	0.2698094	-0.34513623	-0.035106152	-0.0972065
8.105930172206062e-11	0.9574518	-0.15257305	0.24496433	-0.34494925	0.054968774	-0.08825536
1.0776219973547836e-10	0.8947313	-0.38837722	0.22049764	-0.32235238	0.13992393	-0.07944054
1.3661256499868112e-10	0.7788425	-0.5956521	0.19647661	-0.28060016	0.21460061	-0.07078628
1.679836574905882e-10	0.62195385	-0.76370037	0.1730183	-0.22407654	0.2751448	-0.06233476
2.0242613188192998e-10	0.43748078	-0.88659555	0.15019667	-0.15761489	0.31942123	-0.05411262
2.40451497814731e-10	0.2400194	-0.962264	0.12821396	-0.08647381	0.34668297	-0.04619272
2.82855581292176e-10	0.042572733	-0.9933249	0.10720682	-0.015338035	0.35787353	-0.038624305
3.3044487390045456e-10	-0.14302364	-0.9858505	0.0874246	0.05152833	0.35518068	-0.031497195
3.8421799866361013e-10	-0.30788022	-0.94891083	0.06912292	0.110922605	0.3418721	-0.024903495
4.452005345357333e-10	-0.4461216	-0.8934251	0.052604347	0.16072798	0.3218818	-0.018952211
5.144584834653353e-10	-0.5553869	-0.83071655	0.038149737	0.20009392	0.29928926	-0.0137445275
5.928863166366011e-10	-0.63630354	-0.77100116	0.025983997	0.22924644	0.27777505	-0.009361474
6.805213522155618e-10	-0.6915116	-0.7221825	0.016255086	0.2491367	0.2601868	-0.0058563566
7.775477313665806e-10	-0.7255015	-0.688164	0.008833253	0.26138252	0.24793062	-0.0031824305
8.833450330790628e-10	-0.7426637	-0.6696556	0.0034592159	0.26756567	0.24126247	-0.0012462809
9.984477287260527e-10	-0.74695385	-0.66487586	-0.0002830262	0.2691114	0.23954044	0.00010196824
1.123716269507439e-09	-0.74115926	-0.6713235	-0.002790284	0.26702368	0.24186334	0.0010052791
1.260043797915517e-09	-0.72715193	-0.6864624	-0.0043992796	0.26197717	0.24731758	0.0015849655
1.4115101051034207e-09	-0.705675	-0.70851517	-0.0054002055	0.25423947	0.25526273	0.0019455776
1.5777387039492506e-09	-0.6775271	-0.73547345	-0.0059791277	0.2440984	0.26497522	0.0021541507
1.7705520873618107e-09	-0.6409487	-0.76755786	-0.0063058133	0.23091999	0.27653456	0.0022718485
1.9870452651918273e-09	-0.5964242	-0.8026434	-0.006467432	0.21487877	0.2891751	0.0023300762
2.2476656491260343e-09	-0.53929174	-0.8420936	-0.0065420754	0.19429518	0.30338815	0.0023569684
2.5502446117511034e-09	-0.4692005	-0.8830673	-0.006570494	0.16904283	0.3181501	0.0023672073
2.941105119622673e-09	-0.37389818	-0.9274465	-0.006579756	0.13470745	0.33413896	0.0023705438
2.941105119622673e-09	-0.37389818	-0.9274465	-0.006579756	0.13470745	0.33413896	0.0023705438
3.3319656274942427e-09	-0.27439323	-0.9615951	-0.0065821046	0.09885797	0.34644195	0.0023713904
3.767981100531893e-09	-0.15984312	-0.9871205	-0.0065826657	0.057588026	0.3556382	0.0023715924
4.151319016232855e-09	-0.057254903	-0.998338	-0.0065826033	0.020627707	0.35967964	0.00237157
4.520136959962763e-09	0.04203561	-0.9990945	-0.006582453	-0.015144523	0.35995215	0.0023715156
4.891174090680684e-09	0.14150204	-0.98991615	-0.006582463	-0.05098013	0.3566454	0.0023715193
5.258681722414076e-09	0.23863293	-0.97108763	-0.006581859	-0.08597429	0.34986192	0.0023713019
