# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.67611825	0.65773654	0.33203438	-0.24359083	-0.23696828	-0.11962482
2.047e-12	0.685422	0.6486982	0.33073765	-0.24694276	-0.23371196	-0.11915763
4.095e-12	0.70355654	0.6303354	0.3281548	-0.25347626	-0.22709623	-0.1182271
8.191e-12	0.737926	0.5925502	0.32303172	-0.26585883	-0.21348307	-0.11638136
1.6383e-11	0.79904693	0.5134025	0.31295678	-0.28787938	-0.18496786	-0.11275157
3.2767e-11	0.89126587	0.345696	0.29349548	-0.32110387	-0.12454681	-0.105740085
5.619787706475622e-11	0.9583987	0.100217	0.2672613	-0.34529036	-0.03610602	-0.09628847
8.121549793759814e-11	0.9590898	-0.14805539	0.24130175	-0.34553936	0.053341165	-0.08693581
1.0812624064293406e-10	0.89868236	-0.38191003	0.21567309	-0.32377586	0.13759395	-0.07770236
1.3733161806458933e-10	0.7864781	-0.5875292	0.19042495	-0.28335112	0.21167406	-0.068606004
1.6928936457573194e-10	0.63474655	-0.75475395	0.1656603	-0.22868548	0.27192158	-0.05968383
2.0456268320662059e-10	0.45750442	-0.8778747	0.1415131	-0.16482897	0.3162793	-0.050984114
2.4386264973009964e-10	0.26916024	-0.9558212	0.118146434	-0.09697263	0.34436175	-0.042565614
2.880476084691381e-10	0.08346174	-0.99189717	0.0957815	-0.030069465	0.35735917	-0.034508012
3.3819876920834745e-10	-0.08775567	-0.9933389	0.07467849	0.031616475	0.3578786	-0.026905049
3.955058807604653e-10	-0.23496434	-0.97043616	0.05518778	0.08465259	0.34962723	-0.019882966
4.6131495292135445e-10	-0.35183844	-0.93530196	0.037683643	0.1267598	0.33696914	-0.0135766035
5.365550625681809e-10	-0.434788	-0.90024906	0.022605946	0.15664473	0.3243403	-0.008144435
6.215301150562354e-10	-0.4834562	-0.8753083	0.010273286	0.17417884	0.3153547	-0.0037012433
7.151822739395454e-10	-0.50012374	-0.86595356	0.0007950962	0.1801838	0.31198436	-0.00028645602
8.161476068711527e-10	-0.48914835	-0.8721794	-0.006100697	0.1762296	0.31422743	0.0021979494
9.248502277110447e-10	-0.45455256	-0.8906525	-0.010961231	0.16376546	0.3208829	0.0039490946
1.0414966762566256e-09	-0.39924455	-0.9167335	-0.014269287	0.14383921	0.3302793	0.0051409164
1.1680509717373455e-09	-0.324428	-0.94576716	-0.016465735	0.11688441	0.3407395	0.005932249
1.305943137813913e-09	-0.23093803	-0.9728044	-0.017869644	0.08320199	0.35048047	0.0064380467
1.4600911650735845e-09	-0.11695796	-0.99296004	-0.018740969	0.04213743	0.35774207	0.0067519667
1.640020462240474e-09	0.022924418	-0.99955165	-0.019261183	-0.0082591735	0.36011687	0.006939389
1.865107585862251e-09	0.2004888	-0.97950095	-0.019551372	-0.07223179	0.35289305	0.0070439377
1.865107585862251e-09	0.2004888	-0.97950095	-0.019551372	-0.07223179	0.35289305	0.0070439377
2.0765165255309427e-09	0.36302802	-0.93157077	-0.019663917	-0.13079116	0.33562487	0.007084485
2.295285176898964e-09	0.5207677	-0.85347086	-0.01971279	-0.18762137	0.30748713	0.007102093
2.5018271040218855e-09	0.65515804	-0.75523424	-0.019731557	-0.23603928	0.2720946	0.0071088546
2.703926367290528e-09	0.7691678	-0.638742	-0.019739822	-0.27711457	0.23012497	0.0071118316
2.911648052621026e-09	0.86504245	-0.50131017	-0.019743916	-0.31165612	0.18061124	0.007113307
3.107154948413745e-09	0.9331284	-0.35900083	-0.019745555	-0.33618605	0.12934026	0.0071138972
3.3062709940486087e-09	0.97858566	-0.20489073	-0.01974608	-0.35256326	0.07381771	0.0071140868
3.509940063966775e-09	0.9989304	-0.041812453	-0.019746302	-0.35989302	0.015064125	0.0071141664
3.711102222260598e-09	0.99253064	0.120387204	-0.019746484	-0.3575874	-0.043372914	0.0071142325
3.912346386457537e-09	0.9599491	0.27947783	-0.019746408	-0.34584892	-0.10068983	0.0071142046
4.112187307933692e-09	0.9025312	0.43017167	-0.019746143	-0.32516253	-0.15498155	0.0071141096
4.313255745389496e-09	0.82106817	0.57048863	-0.019746477	-0.29581314	-0.20553473	0.0071142293
4.515734927648616e-09	0.71718633	0.6966017	-0.01974743	-0.25838673	-0.25097054	0.0071145734
4.717534490775292e-09	0.59458894	0.80378735	-0.019747091	-0.21421757	-0.28958723	0.0071144504
4.920892661298222e-09	0.45509967	0.89022166	-0.019746756	-0.16396259	-0.32072765	0.007114331
5.122816875764772e-09	0.3044552	0.952322	-0.019746972	-0.10968864	-0.34310108	0.0071144076
5.325360142106276e-09	0.1452284	0.9892011	-0.019746948	-0.052322656	-0.3563878	0.0071143997
5.525959007622604e-09	-0.016308423	0.99967206	-0.019746715	0.0058755735	-0.3601603	0.007114316
5.726670109810221e-09	-0.17750561	0.9839217	-0.019746587	0.06395145	-0.35448575	0.007114269
5.928045959570636e-09	-0.33455017	0.94217116	-0.019746715	0.12053121	-0.33944392	0.007114316
6.1278262453874725e-09	-0.48162875	0.8761529	-0.019746915	0.17352045	-0.315659	0.007114387
6.333230694007558e-09	-0.61975527	0.7845467	-0.019746302	0.22328445	-0.28265524	0.0071141664
6.5303147000359755e-09	-0.7363196	0.6763459	-0.019746726	0.26528007	-0.24367282	0.007114319
6.733329106411356e-09	-0.8368825	0.54702634	-0.019746637	0.3015107	-0.19708177	0.0071142865
6.927825673861951e-09	-0.91218275	0.4093076	-0.019746426	0.32863978	-0.1474647	0.007114211
7.127939216951369e-09	-0.9661779	0.25711942	-0.019746745	0.34809306	-0.09263457	0.007114326
7.3303785203126855e-09	-0.99515134	0.09635333	-0.019746507	0.35853156	-0.03471403	0.007114241
7.530075288999904e-09	-0.9977046	-0.064773776	-0.019746598	0.3594514	0.023336593	0.0071142735
7.731708259263323e-09	-0.9739869	-0.22574249	-0.019746663	0.3509065	0.08133015	0.0071142972
7.932684156210116e-09	-0.9246764	-0.3802416	-0.019746494	0.33314097	0.13699284	0.007114236
8.134614565839784e-09	-0.8506307	-0.5253927	-0.019746684	0.3064639	0.18928765	0.007114304
8.33822354709838e-09	-0.7530987	-0.6576112	-0.019747082	0.27132523	0.23692313	0.0071144477
8.536862424717399e-09	-0.63832474	-0.7695139	-0.01974645	0.22997463	0.27723926	0.0071142195
8.735257130931942e-09	-0.5073145	-0.8615347	-0.019746738	0.18277447	0.31039238	0.007114324
8.932494452001362e-09	-0.36416602	-0.9311247	-0.019746484	0.13120116	0.33546418	0.0071142325
9.135206227449032e-09	-0.2074651	-0.9780432	-0.019746518	0.07474519	0.35236788	0.0071142437
9.336051375397445e-09	-0.04671627	-0.9987131	-0.019746585	0.016830865	0.35981476	0.0071142684
9.537222087088554e-09	0.11552121	-0.99310875	-0.01974656	-0.0416198	0.35779566	0.00711426
9.738238399021172e-09	0.2745932	-0.9613577	-0.019746633	-0.09893	0.34635645	0.0071142856
9.93969672931455e-09	0.42676076	-0.90414906	-0.019746576	-0.15375268	0.3257454	0.0071142656
1.0141313143814942e-08	0.5677495	-0.8229646	-0.019746156	-0.20454788	0.29649642	0.0071141147
1.0341758788880431e-08	0.69302255	-0.7206455	-0.019746454	-0.24968107	0.25963306	0.0071142213
1.0543811503714456e-08	0.80093557	-0.59842485	-0.019746372	-0.2885598	0.21559957	0.0071141915
1.0744193428059289e-08	0.88692707	-0.4614874	-0.019746443	-0.31954068	0.16626397	0.0071142176
1.0946501595502843e-08	0.9502047	-0.31100053	-0.019746706	-0.34233826	0.11204677	0.007114312
1.1147942805853279e-08	0.98804224	-0.1529142	-0.019746462	-0.3559703	0.055091687	0.007114224
1.1344981647985633e-08	0.99978906	0.005658277	-0.019746536	-0.36020243	-0.0020385552	0.007114251
1.154602122605049e-08	0.98571265	0.1672744	-0.019746393	-0.35513097	-0.06026536	0.0071141995
1.1746532114776249e-08	0.94582283	0.3240821	-0.019746574	-0.34075958	-0.11675979	0.007114264
1.1947455876778679e-08	0.88100404	0.47269648	-0.019746356	-0.31740677	-0.17030236	0.007114186
1.2147619245720676e-08	0.7933901	0.60839325	-0.01974681	-0.28584135	-0.21919096	0.00711435
1.2352031672635334e-08	0.6825649	0.7305581	-0.0197463	-0.24591342	-0.26320434	0.007114166
1.2554700975703025e-08	0.5543359	0.8320588	-0.019746574	-0.19971526	-0.29977286	0.007114264
1.2753396257627475e-08	0.41419804	0.90997255	-0.019746605	-0.14922662	-0.3278435	0.0071142754
1.2951634199953493e-08	0.263762	0.96438575	-0.019746816	-0.09502776	-0.34744737	0.0071143517
1.3156322791466743e-08	0.10139042	0.9946508	-0.019746652	-0.03652878	-0.35835123	0.0071142926
1.3357706234821152e-08	-0.0610824	0.99793744	-0.01974661	0.022006672	-0.35953534	0.0071142777
1.355871579354249e-08	-0.22164652	0.9749271	-0.019746518	0.07985446	-0.3512452	0.0071142437
1.3760063182231868e-08	-0.37662822	0.92615414	-0.019746192	0.13569105	-0.33367333	0.0071141263
1.3960870570569146e-08	-0.5212898	0.8531513	-0.019746108	0.18780947	-0.30737203	0.0071140965
1.4159977473161556e-08	-0.65121764	0.75863415	-0.01974614	0.23461965	-0.27331954	0.007114108
1.4360271313444896e-08	-0.76494694	0.6437906	-0.019746728	0.27559388	-0.23194385	0.00711432
1.4561777747803732e-08	-0.85918844	0.5112782	-0.0197473	0.30954707	-0.18420249	0.0071145264
1.4761462601465055e-08	-0.93016523	0.36660987	-0.01974689	0.33511844	-0.13208163	0.0071143783
1.4962587925444955e-08	-0.9772256	0.21128225	-0.019746775	0.3520733	-0.076120436	0.007114337
1.5164072121420137e-08	-0.99854904	0.050099183	-0.019746592	0.35975567	-0.018049655	0.0071142707
1.536329501908064e-08	-0.9936696	-0.11059285	-0.019746652	0.35799772	0.039844215	0.0071142926
1.556452571392265e-08	-0.9626612	-0.26998794	-0.019746775	0.34682605	0.09727085	0.007114337
1.5765465630076216e-08	-0.90635884	-0.42204732	-0.0197461	0.32654154	0.15205455	0.007114094
1.5968684327398005e-08	-0.8251805	-0.56452405	-0.01974623	0.29729474	0.20338583	0.0071141412
1.6168648208327182e-08	-0.72362155	-0.6899144	-0.019746054	0.26070523	0.24856126	0.007114077
1.636577351387479e-08	-0.6050418	-0.79594886	-0.01974618	0.21798348	0.28676322	0.007114123
1.6567635699300574e-08	-0.46776778	-0.88363093	-0.019746602	0.16852665	0.31835318	0.0071142744
1.6765682967383512e-08	-0.32099387	-0.9468754	-0.019746814	0.11564717	0.34113878	0.007114351
1.6966214893758064e-08	-0.16403739	-0.98625654	-0.019746829	0.05909913	0.35532695	0.0071143564
1.7166702943325233e-08	-0.002819624	-0.9998011	-0.019746661	0.0010158496	0.36020678	0.007114296
1.7366807729018898e-08	0.15816545	-0.98721516	-0.01974662	-0.0569836	0.35567233	0.0071142814
1.756778618381773e-08	0.3156942	-0.9486556	-0.019746317	-0.11373781	0.34178013	0.007114172
1.7770379371487023e-08	0.46606973	-0.8845276	-0.01974646	-0.16791487	0.31867623	0.007114223
1.7971097894250895e-08	0.60277677	-0.79766554	-0.01974606	-0.21716747	0.28738165	0.007114079
1.8174767352678378e-08	0.72530717	-0.6881422	-0.019747108	-0.26131254	0.24792278	0.007114457
1.8374927360047276e-08	0.82665074	-0.56236887	-0.01974665	-0.29782444	0.20260936	0.007114292
1.857775708786225e-08	0.9073263	-0.41996327	-0.01974655	-0.32689008	0.15130371	0.007114256
1.877657321852792e-08	0.9628186	-0.269426	-0.019746693	-0.34688276	0.09706838	0.0071143075
1.8979660217721365e-08	0.99389786	-0.10852303	-0.019746566	-0.3580799	0.03909851	0.0071142614
1.9180002217981624e-08	0.99839497	0.053081557	-0.019746576	-0.35970014	-0.019124141	0.0071142656
1.938136835690347e-08	0.9766108	0.21410622	-0.019746544	-0.35185176	-0.07713786	0.007114253
1.9581894612852708e-08	0.9292811	0.3688451	-0.019746516	-0.3347999	-0.13288693	0.0071142437
