# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.67611223	0.65772444	0.3320707	-0.24358863	-0.2369639	-0.11963791
2.047e-12	0.68541074	0.6486731	0.33081028	-0.24693869	-0.23370293	-0.11918381
4.095e-12	0.70353687	0.6302818	0.32829985	-0.25346917	-0.22707695	-0.11827935
8.191e-12	0.7378969	0.5924288	0.32332084	-0.26584834	-0.21343932	-0.11648552
1.6383e-11	0.7990195	0.5130949	0.3135305	-0.2878695	-0.18485703	-0.11295828
3.2767e-11	0.89124894	0.3447787	0.29462364	-0.32109773	-0.12421632	-0.106146544
5.614845068962453e-11	0.9580491	0.098363526	0.26919612	-0.34516445	-0.035438254	-0.096985556
8.106294429529157e-11	0.9579079	-0.1511133	0.24408467	-0.34511358	0.05444286	-0.08793844
1.078088591497192e-10	0.8958633	-0.3864216	0.2193339	-0.32276022	0.13921936	-0.079021275
1.3675084438449696e-10	0.78092974	-0.5933995	0.19500192	-0.28135213	0.21378905	-0.07025498
1.682828498036131e-10	0.62525195	-0.7614123	0.1712056	-0.22526479	0.27432042	-0.06168168
2.029133364785415e-10	0.44263023	-0.8843955	0.14806493	-0.15947013	0.3186286	-0.0533446
2.412687600788326e-10	0.24725722	-0.96075827	0.1257282	-0.089081444	0.34614047	-0.04529716
2.8409383487299197e-10	0.052633066	-0.9931427	0.10439094	-0.018962558	0.35780787	-0.0376098
3.323050599614943e-10	-0.1296627	-0.9879699	0.08428029	0.04671467	0.35594422	-0.030364372
3.869106151755673e-10	-0.2905102	-0.9546145	0.06568772	0.104664564	0.343927	-0.02366587
4.49028175759741e-10	-0.42408308	-0.90430087	0.048924603	0.15278798	0.3258001	-0.01762648
5.198038163922081e-10	-0.52793497	-0.84859234	0.034288723	0.19020355	0.3057295	-0.012353487
5.998777614231064e-10	-0.602288	-0.79797393	0.022061944	0.21699136	0.2874928	-0.007948442
6.894385816373054e-10	-0.64992505	-0.7598981	0.012346476	0.23415399	0.2737749	-0.004448169
7.880263766668723e-10	-0.67493546	-0.7378596	0.005030277	0.24316469	0.26583487	-0.0018123003
8.949669003596101e-10	-0.68170166	-0.73163027	-0.00020976669	0.2456024	0.2635906	7.557441e-05
1.0106299430437885e-09	-0.67392135	-0.7387932	-0.0038252478	0.24279933	0.26617122	0.0013781541
1.1362351919301197e-09	-0.6540081	-0.756462	-0.0062368256	0.235625	0.27253693	0.0022469936
1.2734948184099933e-09	-0.6232726	-0.78196585	-0.007788007	0.22455168	0.2817254	0.002805851
1.4255287556921323e-09	-0.58191824	-0.8132003	-0.008746765	0.2096526	0.29297853	0.0031512706
1.5945804064462287e-09	-0.5298083	-0.84806645	-0.009305202	0.19087848	0.30554008	0.0033524637
1.7831943386946703e-09	-0.4663955	-0.88452417	-0.009608676	0.16803223	0.31867498	0.0034617987
2.007260953769746e-09	-0.3859843	-0.92245364	-0.009766111	0.13906182	0.33234015	0.003518519
2.280893403499142e-09	-0.2825506	-0.959202	-0.009837646	0.101796895	0.34557977	0.0035442915
2.280893403499142e-09	-0.2825506	-0.959202	-0.009837646	0.101796895	0.34557977	0.0035442915
2.6079917652327497e-09	-0.15395893	-0.9880281	-0.009864131	0.055468082	0.3559652	0.0035538336
2.9334763726260845e-09	-0.02315267	-0.99968326	-0.009870885	0.008341407	0.36016434	0.0035562671
3.2339081306643962e-09	0.09803752	-0.99513376	-0.009872749	-0.035320804	0.35852522	0.0035569386
3.5351575111406766e-09	0.21811846	-0.9758724	-0.009872907	-0.078583375	0.35158575	0.0035569954
3.829502981767456e-09	0.33234844	-0.94310504	-0.0098734945	-0.11973797	0.3397804	0.003557207
4.139095003083105e-09	0.44740093	-0.8942791	-0.009872866	-0.1611889	0.32218948	0.0035569803
4.4316233366671185e-09	0.5497174	-0.83529246	-0.009873348	-0.19805132	0.30093783	0.0035571544
4.712518837316103e-09	0.6407646	-0.7676739	-0.009872649	-0.23085366	0.27657634	0.0035569023
4.996517168123242e-09	0.72443587	-0.68927157	-0.009873554	-0.2609986	0.24832967	0.0035572285
