# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.6761202	0.65774065	0.33202228	-0.24359152	-0.23696974	-0.11962046
2.047e-12	0.6854257	0.6487067	0.33071345	-0.24694408	-0.23371503	-0.119148925
4.095e-12	0.70356303	0.63035333	0.32810646	-0.2534786	-0.2271027	-0.118209675
8.191e-12	0.73793566	0.59259075	0.32293534	-0.2658623	-0.21349767	-0.11634664
1.6383e-11	0.799056	0.51350504	0.31276545	-0.28788263	-0.1850048	-0.11268264
3.2767e-11	0.891271	0.34600174	0.29311922	-0.32110572	-0.12465696	-0.10560453
5.617362968754961e-11	0.958457	0.101257205	0.26665965	-0.34531134	-0.036480784	-0.09607172
8.12116628152643e-11	0.95954627	-0.14651355	0.24042644	-0.34570384	0.052785672	-0.08662045
1.081856385661399e-10	0.89976805	-0.380015	0.21449071	-0.324167	0.13691121	-0.07727638
1.374920260720946e-10	0.78848845	-0.58531666	0.18891938	-0.28407538	0.21087694	-0.06806358
1.6958811427599798e-10	0.6381489	-0.7522808	0.16382837	-0.22991128	0.27103055	-0.05902383
2.0508634742156955e-10	0.4627322	-0.8754801	0.13933231	-0.16671242	0.3154166	-0.050198425
2.447286491669895e-10	0.27675256	-0.95396245	0.11560203	-0.09970798	0.34369206	-0.041648917
2.8938315521477794e-10	0.09423113	-0.9912078	0.09288584	-0.033949442	0.3571108	-0.03346476
3.4021834966966147e-10	-0.07296697	-0.9947724	0.07144035	0.026288426	0.35839498	-0.025738418
3.984780720369947e-10	-0.2150405	-0.9752388	0.051643647	0.07747446	0.35135746	-0.018606093
4.6547950551224126e-10	-0.32522726	-0.9450275	0.033918362	0.11717236	0.340473	-0.012220055
5.421573689313312e-10	-0.39970866	-0.91645116	0.018718623	0.1440064	0.33017755	-0.006743916
6.283682062578748e-10	-0.43775314	-0.89907235	0.0064110323	0.15771303	0.32391638	-0.0023097564
7.228500703919532e-10	-0.4418844	-0.8970672	-0.0029546346	0.15920141	0.32319394	0.0010644911
8.243619426014146e-10	-0.41660127	-0.90903735	-0.009726083	0.15009245	0.32750654	0.003504098
9.32663296367185e-10	-0.36615267	-0.9304426	-0.014453359	0.13191691	0.3352184	0.0052072336
1.0491353589514877e-09	-0.29299954	-0.9559491	-0.017681608	0.1055614	0.34440786	0.006370302
1.1760751613635366e-09	-0.19792955	-0.98001564	-0.019834258	0.071309745	0.35307848	0.007145855
1.3153831378114914e-09	-0.08167178	-0.99643356	-0.021215145	0.029424582	0.3589935	0.007643359
1.4736051793858813e-09	0.058695436	-0.9980318	-0.022077153	-0.0211467	0.35956934	0.007953923
1.6628540680455817e-09	0.22986394	-0.9729606	-0.022591336	-0.08281502	0.35053673	0.008139171
1.6628540680455817e-09	0.22986394	-0.9729606	-0.022591336	-0.08281502	0.35053673	0.008139171
1.8700211950225764e-09	0.41198614	-0.9109038	-0.022844935	-0.14842972	0.328179	0.008230537
2.073448071385418e-09	0.5771581	-0.81630987	-0.022952972	-0.20793761	0.29409885	0.008269461
2.2628772651515433e-09	0.71265537	-0.70113736	-0.022998355	-0.25675434	0.25260466	0.008285811
2.452536141134355e-09	0.8258616	-0.56340295	-0.023018993	-0.2975401	0.20298193	0.008293247
2.6352318261545712e-09	0.91015387	-0.41362998	-0.023028612	-0.32790878	0.14902195	0.008296711
2.8166263607338522e-09	0.9672524	-0.2527693	-0.02303342	-0.34848017	0.09106733	0.008298444
3.000810781857513e-09	0.99637467	-0.08189562	-0.023035724	-0.3589723	0.029505223	0.008299274
