# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.6761142	0.65772843	0.33205858	-0.24358936	-0.23696537	-0.11963354
2.047e-12	0.68541443	0.6486815	0.3307861	-0.24694003	-0.23370597	-0.11917511
4.095e-12	0.70354337	0.63029975	0.32825154	-0.2534715	-0.22708338	-0.118261956
8.191e-12	0.7379066	0.5924693	0.32322448	-0.26585183	-0.21345389	-0.1164508
1.6383e-11	0.7990287	0.5131975	0.3133393	-0.2878728	-0.18489398	-0.112889394
3.2767e-11	0.8912548	0.34508443	0.29424763	-0.32109988	-0.12432647	-0.10601107
5.6186816790207163e-11	0.9581964	0.09875279	0.2685285	-0.34521747	-0.0355785	-0.09674502
8.112955311837008e-11	0.95828336	-0.15024814	0.2431429	-0.34524882	0.05413116	-0.08759914
1.0793981382487934e-10	0.89672136	-0.3851315	0.2180935	-0.32306936	0.13875458	-0.07857439
1.3695722497853906e-10	0.7827133	-0.5915484	0.19346954	-0.2819947	0.21312213	-0.0697029
1.6863238191482698e-10	0.6283164	-0.75930136	0.16935225	-0.22636884	0.2735599	-0.06101396
2.0347333377290598e-10	0.44746447	-0.8823233	0.14588133	-0.16121179	0.31788206	-0.052557893
2.421576287238377e-10	0.2542938	-0.95924836	0.12319598	-0.09161657	0.3455965	-0.04438486
2.8543854999700385e-10	0.06252056	-0.99286723	0.10151778	-0.022524811	0.35770863	-0.03657466
3.342631364536155e-10	-0.11616045	-0.98991466	0.0810907	0.041850105	0.3566449	-0.029215233
3.8973835008766515e-10	-0.27271244	-0.96008253	0.06220535	0.098252416	0.34589702	-0.022411246
4.530734506398535e-10	-0.40120986	-0.9148708	0.045190856	0.14454725	0.3296082	-0.01628129
5.253107750361796e-10	-0.49878874	-0.86619025	0.030402884	0.17970282	0.31206965	-0.010953503
6.069491367888767e-10	-0.5655348	-0.824525	0.0181399	0.20374998	0.29705852	-0.006535415
6.981793143536232e-10	-0.60419565	-0.7967911	0.008468798	0.21767867	0.28706664	-0.0030511252
7.978159161720349e-10	-0.61860186	-0.7857036	0.001283942	0.22286889	0.28307205	-0.00046257663
9.053338115669764e-10	-0.6131646	-0.789946	-0.0038179215	0.22090998	0.2846005	0.0013755148
1.0217400424855524e-09	-0.5911506	-0.806528	-0.007332109	0.21297881	0.2905746	0.0026416008
1.1483429699815865e-09	-0.5544294	-0.83217454	-0.009672355	0.19974893	0.29981452	0.0034847409
1.2854416641272561e-09	-0.5044149	-0.8633893	-0.011160099	0.18172981	0.31106055	0.004020743
1.4405194084291335e-09	-0.43903112	-0.8983905	-0.012094756	0.15817344	0.32367072	0.0043574795
1.6131869850312385e-09	-0.35872045	-0.9333596	-0.012632878	0.12923923	0.33626935	0.004551353
1.8079631791345415e-09	-0.26179975	-0.9650358	-0.0129225	0.094320804	0.34768158	0.0046556983
2.047585704976179e-09	-0.13689242	-0.9904997	-0.013072654	0.049319386	0.3568557	0.004709795
2.393956049692295e-09	0.04852168	-0.99873567	-0.013142293	-0.017481314	0.35982293	0.004734885
2.6732178922668946e-09	0.1974968	-0.9802153	-0.013157153	-0.071153834	0.35315043	0.004740238
2.9313780895234735e-09	0.33141738	-0.94339246	-0.013161944	-0.119402535	0.33988395	0.0047419644
3.18652109883968e-09	0.45752463	-0.88909954	-0.013163662	-0.16483626	0.32032338	0.0047425833
3.4283114297064854e-09	0.56911653	-0.8221516	-0.013163637	-0.20504043	0.2962035	0.004742575
3.684131801322094e-09	0.6766546	-0.7361829	-0.013164671	-0.24378404	0.26523083	0.004742947
3.9497674752321e-09	0.7747202	-0.6321672	-0.013165008	-0.27911496	0.22775622	0.0047430685
4.204231947700585e-09	0.85383666	-0.52037466	-0.0131648015	-0.30761892	0.18747975	0.004742994
4.460483247464781e-09	0.9173165	-0.3979412	-0.013164348	-0.33048934	0.14336963	0.00474283
4.715554502018652e-09	0.9631755	-0.26855138	-0.013164346	-0.34701133	0.09675326	0.00474283
4.966348974111111e-09	0.99056894	-0.13638121	-0.01316452	-0.3568806	0.049135208	0.0047428925
5.221000127703649e-09	0.99991333	0.0003520828	-0.013164479	-0.3602472	-0.00012684784	0.004742878
5.477130247478222e-09	0.9903632	0.13786744	-0.01316449	-0.35680646	-0.049670663	0.004742882
5.733067381706535e-09	0.96201986	0.27266183	-0.0131643815	-0.346595	-0.09823418	0.004742842
5.9876959038916055e-09	0.915704	0.4016379	-0.013164869	-0.3299084	-0.14470148	0.004743018
6.244759965169021e-09	0.85150003	0.52418923	-0.01316466	-0.3067771	-0.18885407	0.0047429428
6.499730915615654e-09	0.7717142	0.63583326	-0.013163873	-0.27803198	-0.22907701	0.0047426596
6.7551360831171745e-09	0.67722744	0.73565614	-0.013163775	-0.24399045	-0.26504102	0.0047426242
