# t (s)	mx ()	my ()	mz ()	B_demagx (T)	B_demagy (T)	B_demagz (T)
0	0.6666667	0.6666667	0.33333334	-0.24018563	-0.24018563	-0.12009282
1.023e-12	0.67614615	0.65779346	0.33186477	-0.24360085	-0.2369888	-0.11956372
2.047e-12	0.68547434	0.64881575	0.33039856	-0.24696161	-0.23375432	-0.11903547
4.095e-12	0.70364785	0.63058555	0.32747757	-0.2535091	-0.22718637	-0.1179831
8.191e-12	0.73806065	0.5931167	0.3216818	-0.26590735	-0.21368715	-0.11589501
1.6383e-11	0.79916936	0.5148369	0.31027636	-0.28792346	-0.18548463	-0.111785874
3.2767e-11	0.89131576	0.3499788	0.28822052	-0.32112184	-0.12608981	-0.103839636
5.6367636233196755e-11	0.9598417	0.109614305	0.25824147	-0.3458103	-0.039491672	-0.09303883
8.178723338580599e-11	0.96460485	-0.13194464	0.22831604	-0.3475263	0.04753681	-0.082257345
1.0950469677112517e-10	0.91217196	-0.3585691	0.19842024	-0.32863587	0.12918471	-0.07148653
1.4006119212042203e-10	0.8131917	-0.55703163	0.16862713	-0.29297543	0.20068648	-0.060752716
1.741420010118654e-10	0.68160474	-0.7183854	0.13905936	-0.2455675	0.25881878	-0.050100088
2.1273099392202938e-10	0.53315383	-0.8388587	0.10983158	-0.19208382	0.3022227	-0.039569944
2.5711972774524164e-10	0.38478482	-0.91943115	0.08116132	-0.13862967	0.3312512	-0.029240672
3.0892615183605594e-10	0.25426927	-0.9656555	0.053447563	-0.091607735	0.34790483	-0.019256003
3.7007124845607197e-10	0.15964146	-0.9867971	0.027315494	-0.057515375	0.35552168	-0.009841183
4.417033258967421e-10	0.11842077	-0.9929561	0.0038607607	-0.04266445	0.35774067	-0.0013909487
5.217692811718261e-10	0.14082225	-0.98991454	-0.015441359	-0.05073522	0.35664487	0.0055631883
6.054530765631429e-10	0.21991035	-0.9750612	-0.029920977	-0.07922897	0.3512935	0.010779882
6.908676240416277e-10	0.3396478	-0.9396842	-0.040411375	-0.12236778	0.33854795	0.014559347
7.797568282226597e-10	0.48707032	-0.8720381	-0.048082642	-0.17548096	0.3141765	0.017323138
8.755053096242741e-10	0.65104103	-0.7571354	-0.053773887	-0.23455605	0.27277955	0.01937357
9.859852814129247e-10	0.82023716	-0.5690643	-0.058110125	-0.29551375	0.20502159	0.020935822
9.859852814129247e-10	0.82023716	-0.5690643	-0.058110125	-0.29551375	0.20502159	0.020935822
1.0942840322454467e-09	0.94025236	-0.33499846	-0.06084102	-0.33875266	0.120692715	0.021919709
1.2028993243879885e-09	0.9957673	-0.067288294	-0.06260862	-0.35875344	0.024242522	0.022556538
1.3010963689278159e-09	0.9806753	0.18499647	-0.063659675	-0.35331613	-0.06665024	0.022935208
1.3952496361683846e-09	0.9057571	0.41888446	-0.064342745	-0.32632476	-0.15091503	0.0231813
1.4872605861321734e-09	0.7782021	0.62466174	-0.06480128	-0.28036943	-0.22505215	0.023346504
1.5780012496081514e-09	0.606409	0.79248244	-0.06511366	-0.21847609	-0.2855143	0.023459047
1.6678600206599943e-09	0.4007782	0.913843	-0.065328896	-0.14439175	-0.3292379	0.023536593
1.7570520996343865e-09	0.17331696	0.9826871	-0.065477684	-0.06244236	-0.35404098	0.023590196
1.8458976478360875e-09	-0.06349418	0.9958251	-0.0655812	0.022875583	-0.3587743	0.023627494
1.9345164569895812e-09	-0.29643375	0.95279425	-0.06565346	0.10679868	-0.3432712	0.023653526
2.0229597861648953e-09	-0.5124488	0.8562005	-0.06570368	0.18462422	-0.30847055	0.02367162
2.1112803481730367e-09	-0.6995187	0.7115841	-0.06573916	0.2520215	-0.2563684	0.023684403
2.1995563718479086e-09	-0.8473023	0.52702355	-0.06576392	0.3052647	-0.18987522	0.023693321
2.287792443399771e-09	-0.94750357	0.3129053	-0.065781154	0.34136507	-0.11273303	0.02369953
2.375926369851197e-09	-0.99450386	0.081446365	-0.065793246	0.3582983	-0.029343368	0.023703888
2.464072933782249e-09	-0.9857764	-0.1546447	-0.065801665	0.35515398	0.055715144	0.02370692
2.5521898262668834e-09	-0.9218096	-0.3820163	-0.06580761	0.3321081	0.13763222	0.023709059
2.6402717563163786e-09	-0.80623686	-0.5879209	-0.06581177	0.29046974	0.21181524	0.02371056
